Assembly instruction,Category,
FEMMS,MMX,
PAVGUSB,3DNOW,
PF2ID,3DNOW,
PF2IW,3DNOW,
PFACC,3DNOW,
PFADD,3DNOW,
PFCMPEQ,3DNOW,
PFCMPGE,3DNOW,
PFCMPGT,3DNOW,
PFMAX,3DNOW,
PFMIN,3DNOW,
PFMUL,3DNOW,
PFNACC,3DNOW,
PFPNACC,3DNOW,
PFRCP,3DNOW,
PFRCPIT1,3DNOW,
PFRCPIT2,3DNOW,
PFRSQIT1,3DNOW,
PFRSQRT,3DNOW,
PFSUB,3DNOW,
PFSUBR,3DNOW,
PI2FD,3DNOW,
PI2FW,3DNOW,
PMULHRW,3DNOW,
PSWAPD,3DNOW,
PREFETCHW,PREFETCH,
PREFETCH,PREFETCH,
ADCX,ADOX_ADCX,
ADOX,ADOX_ADCX,
AESDEC,AES,
AESDECLAST,AES,
AESENC,AES,
AESENCLAST,AES,
AESIMC,AES,
AESKEYGENASSIST,AES,
INVLPGB,SYSTEM,
TLBSYNC,SYSTEM,
TDPBF16PS,AMX_TILE,
TDPBSSD,AMX_TILE,
TDPBSUD,AMX_TILE,
TDPBUSD,AMX_TILE,
TDPBUUD,AMX_TILE,
LDTILECFG,AMX_TILE,
STTILECFG,AMX_TILE,
TILELOADD,AMX_TILE,
TILELOADDT1,AMX_TILE,
TILERELEASE,AMX_TILE,
TILESTORED,AMX_TILE,
TILEZERO,AMX_TILE,
VADDPD,AVX,
VADDPS,AVX,
VADDSD,AVX,
VADDSS,AVX,
VADDSUBPD,AVX,
VADDSUBPS,AVX,
VANDNPD,LOGICAL_FP,
VANDNPS,LOGICAL_FP,
VANDPD,LOGICAL_FP,
VANDPS,LOGICAL_FP,
VBLENDPD,AVX,
VBLENDPS,AVX,
VBLENDVPD,AVX,
VBLENDVPS,AVX,
VBROADCASTF128,BROADCAST,
VBROADCASTSD,BROADCAST,
VBROADCASTSS,BROADCAST,
VCMPPD,AVX,
VCMPPS,AVX,
VCMPSD,AVX,
VCMPSS,AVX,
VCOMISD,AVX,
VCOMISS,AVX,
VCVTDQ2PD,CONVERT,
VCVTDQ2PS,CONVERT,
VCVTPD2DQ,CONVERT,
VCVTPD2PS,CONVERT,
VCVTPS2DQ,CONVERT,
VCVTPS2PD,CONVERT,
VCVTSD2SI,CONVERT,
VCVTSD2SS,CONVERT,
VCVTSI2SD,CONVERT,
VCVTSI2SS,CONVERT,
VCVTSS2SD,CONVERT,
VCVTSS2SI,CONVERT,
VCVTTPD2DQ,CONVERT,
VCVTTPS2DQ,CONVERT,
VCVTTSD2SI,CONVERT,
VCVTTSS2SI,CONVERT,
VDIVPD,AVX,
VDIVPS,AVX,
VDIVSD,AVX,
VDIVSS,AVX,
VDPPD,AVX,
VDPPS,AVX,
VEXTRACTF128,AVX,
VEXTRACTPS,AVX,
VHADDPD,AVX,
VHADDPS,AVX,
VHSUBPD,AVX,
VHSUBPS,AVX,
VINSERTF128,AVX,
VINSERTPS,AVX,
VLDDQU,AVX,
VLDMXCSR,AVX,
VMASKMOVDQU,AVX,
VMASKMOVPD,AVX,
VMASKMOVPS,AVX,
VMAXPD,AVX,
VMAXPS,AVX,
VMAXSD,AVX,
VMAXSS,AVX,
VMINPD,AVX,
VMINPS,AVX,
VMINSD,AVX,
VMINSS,AVX,
VMOVAPD,DATAXFER,
VMOVAPD {load},DATAXFER,
VMOVAPD {store},DATAXFER,
VMOVAPS,DATAXFER,
VMOVAPS {load},DATAXFER,
VMOVAPS {store},DATAXFER,
VMOVD,DATAXFER,
VMOVDDUP,DATAXFER,
VMOVDQA,DATAXFER,
VMOVDQA {load},DATAXFER,
VMOVDQA {store},DATAXFER,
VMOVDQU,DATAXFER,
VMOVDQU {load},DATAXFER,
VMOVDQU {store},DATAXFER,
VMOVHLPS,DATAXFER,
VMOVHPD,DATAXFER,
VMOVHPS,DATAXFER,
VMOVLHPS,DATAXFER,
VMOVLPD,DATAXFER,
VMOVLPS,DATAXFER,
VMOVMSKPD,DATAXFER,
VMOVMSKPS,DATAXFER,
